alphabet,path
Aeen,data/videos/Aeen.mp4
Al,data/videos/Al.mp4
Alif,data/videos/Alif.mp4
Baa,data/videos/Baa.mp4
Daad,data/videos/Daad.mp4
Daal,data/videos/Daal.mp4
Faa,data/videos/Faa.mp4
Gaen,data/videos/Gaen.mp4
Haa,data/videos/Haa.mp4
Haa,data/videos/Haa.mp4
Hamza Nabira,data/videos/Hamza-Nabira.mp4
Hamza Satr,data/videos/Hamza-Satr.mp4
Hamza Wow,data/videos/Hamza-Wow.mp4
Hamza Yaa,data/videos/Hamza-Yaa.mp4
Jeem,data/videos/Jeem.mp4
Kaaf,data/videos/Kaaf.mp4
Khaa,data/videos/Khaa.mp4
Laa,data/videos/Laa.mp4
Laam,data/videos/Laam.mp4
Meem,data/videos/Meem.mp4
Noon,data/videos/Noon.mp4
Qaaf,data/videos/Qaaf.mp4
Raa,data/videos/Raa.mp4
Saa,data/videos/Saa.mp4
Saad,data/videos/Saad.mp4
Seen,data/videos/Seen.mp4
Sheen,data/videos/Sheen.mp4
Taa,data/videos/Taa.mp4
Taa,data/videos/Taa.mp4
Tua,data/videos/Tua.mp4
Wow,data/videos/Wow.mp4
Yaa,data/videos/Yaa.mp4
Zaai,data/videos/Zaai.mp4
Zaal,data/videos/Zaal.mp4
Zua,data/videos/Zua.mp4
