phrase,path
thank you,youtube_videos/thank you.mp4
sick,youtube_videos/sick.mp4
how,youtube_videos/how.mp4
laughing,youtube_videos/laughing.mp4
bank,youtube_videos/bank.mp4
problem,youtube_videos/problem.mp4
wife,youtube_videos/wife.mp4
beautiful,youtube_videos/beautiful.mp4
right,youtube_videos/right.mp4
father,youtube_videos/father.mp4
honest,youtube_videos/honest.mp4
cousin,youtube_videos/cousin.mp4
welcome,youtube_videos/welcome.mp4
boy,youtube_videos/boy.mp4
ice cream,youtube_videos/ice cream.mp4
tea,youtube_videos/tea.mp4
president,youtube_videos/president.mp4
police,youtube_videos/police.mp4
divorce,youtube_videos/divorce.mp4
lawyer,youtube_videos/lawyer.mp4
hungry,youtube_videos/hungry.mp4
help,youtube_videos/help.mp4
angry,youtube_videos/angry.mp4
america,youtube_videos/america.mp4
university,youtube_videos/university.mp4
water,youtube_videos/water.mp4
year,youtube_videos/year.mp4
family,youtube_videos/family.mp4
alcohol,youtube_videos/alcohol.mp4
boss,youtube_videos/boss.mp4
where,youtube_videos/where.mp4
hour,youtube_videos/hour.mp4
city,youtube_videos/city.mp4
sister,youtube_videos/sister.mp4
bathroom,youtube_videos/bathroom.mp4
sport,youtube_videos/sport.mp4
friend,youtube_videos/friend.mp4
home,youtube_videos/home.mp4
girl,youtube_videos/girl.mp4
brother,youtube_videos/brother.mp4
mother,youtube_videos/mother.mp4
old,youtube_videos/old.mp4
children,youtube_videos/children.mp4
army,youtube_videos/army.mp4
month,youtube_videos/month.mp4
hotel,youtube_videos/hotel.mp4
taxi,youtube_videos/taxi.mp4
coffee,youtube_videos/coffee.mp4
court,youtube_videos/court.mp4
i love you,youtube_videos/i love you.mp4
understand,youtube_videos/understand.mp4
sand dunes,youtube_videos/sand dunes.mp4
wrong,youtube_videos/wrong.mp4
hospital,youtube_videos/hospital.mp4
tent,youtube_videos/tent.mp4
fun,youtube_videos/fun.mp4
flirt,youtube_videos/flirt.mp4
liar,youtube_videos/liar.mp4
young,youtube_videos/young.mp4
school,youtube_videos/school.mp4
travel,youtube_videos/travel.mp4
